Id,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
1,MITSU,SUV - SMALL,1.5,4.0,AV8,X,11.904761904761905,7.199999999999999,9.8,208
2,TOYOTI,PICKUP TRUCK - SMALL,,6.0,A5,X,13.793103448275861,9.7,11.96,325
3,MATSUDA,COMPACT,2.0,4.0,AS6,X,10.204081632653061,7.299250645994832,8.894238035264483,170
4,CHEVO,VAN - PASSENGER,,8.0,A6,X,17.3,11.7,14.78,362
5,TOYOTI,COMPACT,1.8,4.0,M6,X,8.1,7.89935682326622,8.01,180
6,DOGE,MID-SIZE,2.4,4.0,A6,X,11.299435028248588,8.000510204081634,9.81,216
7,BMV,COMPACT,2.0,,M6,Z,,8.1,8.593885001521144,201
8,LECUS,MID-SIZE,3.5,6.0,AS6,X,12.000765306122448,9.900990099009901,11.053336466165414,221
9,KIO,SUV - SMALL,2.4,4.0,AS6,X,13.9,,,243
10,TOYOTI,PICKUP TRUCK - SMALL,2.7,4.0,M5,X,13.106159895150721,8.9,,297
11,FOLD,SUV - STANDARD,3.5,6.0,AS6,X,16.001020408163267,11.806375442739078,14.1,347
12,MATSUDA,SUV - SMALL,2.0,4.0,AS6,X,9.199632014719413,8.7996632996633,9.017132551848512,192
13,KIO,SUV - SMALL,2.4,4.0,AS6,X,11.60092807424594,8.000028320589067,9.98,237
14,JIPU,SUV - SMALL,2.4,4.0,A9,X,12.3,9.399999999999999,10.996493688639552,235
15,NIRRAN,STATION WAGON - SMALL,1.6,4.0,M6,Z,9.5,7.599838449111471,8.64,198
16,CADILUXE,FULL-SIZE,2.0,4.0,AS8,Z,10.9,8.699753618724976,9.910802775024777,219
17,JIPU,SUV - SMALL,,,A9,,10.89818672839506,8.7,9.910802775024777,225
18,MITSU,COMPACT,1.2,3.0,AV,X,7.898894154818326,7.898894154818326,7.9,167
19,FOLKSWA,MID-SIZE,,6.0,AM6,X,12.406947890818858,8.4,10.599662288930581,232
20,BARUSU,COMPACT,2.5,4.0,M6,Z,15.9,9.5,13.02,305
21,LECUS,MID-SIZE,3.5,6.0,AV8,Z,11.200674068199842,7.1,9.399999999999999,167
22,NIRRAN,STATION WAGON - SMALL,1.6,4.0,M6,Z,,10.298661174047373,11.455028386050284,187
23,GONDA,SUV - SMALL,3.5,6.0,A6,X,11.4,10.5,11.0,263
24,JIPU,SUV - SMALL,3.2,6.0,A9,X,19.9,9.099181073703367,15.041586794462193,257
25,GONDA,FULL-SIZE,1.5,4.0,AV,X,4.200267857142857,6.798096532970768,,178
26,LAND CRAWLER,SUV - STANDARD,5.0,8.0,AS8,E,17.699115044247787,11.6,14.947683109118087,367
27,DOGE,TWO-SEATER,8.4,10.0,M6,Z,14.6,8.8,11.988532110091743,406
28,FOLD,VAN - PASSENGER,3.5,6.0,AS10,X,18.115942028985508,11.0,,397
29,CHEVO,SUV - SMALL,1.4,4.0,AS6,X,8.29875518672199,6.798096532970768,7.62,191
30,GONDA,PICKUP TRUCK - STANDARD,3.5,6.0,A6,X,17.404867529266788,9.999327433628318,14.07,265
31,RYUNDAI,FULL-SIZE,3.8,6.0,AS8,X,12.300123001230011,11.8,12.07,314
32,JIPU,SUV - SMALL,,4.0,M6,X,9.1,8.703220191470844,8.9,213
33,JIPU,SUV - SMALL,2.4,4.0,A9,X,8.60018281535649,7.6,,217
34,DOGE,FULL-SIZE,6.2,8.0,A8,Z,20.2020202020202,,18.400000000000002,494
35,FOLKSWA,SUV - SMALL,2.0,4.0,AS8,X,14.3,9.5,12.1,223
36,MITSU,COMPACT,2.0,4.0,AM6,Z,14.0,7.3,10.98,311
37,KIO,MID-SIZE,1.8,4.0,M6,X,9.5,7.9,8.779631255487269,196
38,MATSUDA,COMPACT,,4.0,M6,X,4.300091407678245,7.4,5.695278450363197,150
39,CHEVO,SUBCOMPACT,1.4,4.0,M5,X,8.8,6.199657353716395,7.6,167
40,FOLD,,2.0,4.0,AM6,E,4.200267857142857,7.1,5.5035773252614195,107
41,LAND CRAWLER,SUV - STANDARD,5.0,8.0,AS8,Z,13.9,10.4,12.32,354
42,KIO,STATION WAGON - MID-SIZE,2.0,4.0,A6,X,,8.2,9.74,200
43,LAND CRAWLER,SUV - SMALL,2.0,4.0,AS9,Z,10.298661174047373,8.100000000000001,9.31,222
44,LECUS,MID-SIZE,3.5,6.0,AV8,Z,12.1,7.299270072992701,9.940357852882704,177
45,BMV,SUV - STANDARD,4.4,8.0,AS8,Z,16.6,15.600624024960998,16.15508885298869,364
46,TOYOTI,COMPACT,1.8,4.0,AV,X,10.60004506534475,8.100975050186408,9.47,174
47,GONDA,MID-SIZE,2.0,4.0,M6,X,12.5,,10.427528675703858,192
48,TOLVO,COMPACT,3.0,6.0,AS6,X,17.006802721088437,14.102895656515226,15.700000000000001,283
49,FOLKSWA,COMPACT,3.6,6.0,,X,17.901204055766794,14.5,16.4,289
50,RYUNDAI,SUV - SMALL,2.4,4.0,AS8,X,16.597003525264395,9.9,13.59,226
51,DOGE,MID-SIZE,6.2,8.0,M6,Z,20.6,11.100000000000001,16.32,393
52,CHEVO,SUBCOMPACT,1.4,4.0,AV,X,9.699321047526672,7.3,8.62,162
53,FIAR,STATION WAGON - SMALL,1.4,4.0,M6,X,9.8,7.2,8.63,189
54,CHEVO,STATION WAGON - SMALL,1.8,,M5,X,8.800031152647975,8.4,,187
55,TOYOTI,SUV - STANDARD,3.5,6.0,AS8,X,14.203804347826088,8.1,11.45713589868485,234
56,ASURA,COMPACT,,4.0,AM8,,8.5,6.697923643670462,7.690743261638988,190
57,BMV,SUBCOMPACT,3.0,6.0,AM7,Z,15.6,10.4,13.259019165727171,320
58,TOYOTI,MID-SIZE,1.8,4.0,AV,X,7.2,5.500019470404984,6.435006435006436,126
59,TOLVO,STATION WAGON - MID-SIZE,2.0,4.0,AS8,Z,13.002487562189055,8.4,10.930065055762082,223
60,DOGE,MID-SIZE,5.7,8.0,M6,X,13.698630136986301,9.4,,342
